[2, 14, 22, 3, 13, 23, 26, 10, 6, 19, 17, 8, 1, 15, 21, 4, 12, 24, 25, 11, 5, 20, 16, 9, 7, 18]
[4, 21, 15, 1, 8, 17, 19, 6, 10, 26, 23, 2, 14, 22, 3, 13, 12, 24, 25, 11, 5, 20, 16, 9, 7, 18]
[8, 17, 19, 6, 10, 26, 23, 2, 14, 22, 3, 13, 12, 4, 21, 15, 1, 24, 25, 11, 5, 20, 16, 9, 7, 18]
[9, 16, 20, 5, 11, 25, 24, 12, 4, 21, 15, 1, 8, 17, 19, 6, 10, 26, 23, 13, 3, 22, 14, 2, 7, 18]
[11, 25, 24, 12, 13, 3, 22, 14, 2, 23, 26, 10, 6, 19, 17, 8, 1, 15, 21, 4, 5, 20, 16, 9, 7, 18]
[13, 3, 22, 14, 2, 23, 26, 10, 6, 19, 17, 8, 1, 15, 21, 4, 12, 24, 25, 11, 5, 20, 16, 9, 7, 18]
[13, 12, 4, 21, 15, 10, 26, 23, 2, 14, 22, 3, 6, 19, 17, 8, 1, 24, 25, 11, 5, 20, 16, 9, 7, 18]
[15, 21, 4, 12, 13, 3, 22, 14, 2, 23, 26, 10, 6, 19, 17, 8, 1, 24, 25, 11, 5, 20, 16, 9, 7, 18]
[18, 7, 2, 14, 22, 3, 13, 23, 26, 10, 6, 19, 17, 8, 1, 15, 21, 4, 12, 24, 25, 11, 5, 20, 16, 9]
[18, 7, 9, 16, 20, 5, 4, 21, 15, 1, 8, 17, 19, 6, 10, 26, 23, 2, 14, 11, 25, 24, 12, 13, 3, 22]
[18, 7, 9, 16, 20, 5, 4, 21, 15, 1, 8, 17, 19, 6, 10, 26, 23, 2, 14, 22, 3, 13, 12, 24, 25, 11]
[18, 7, 9, 16, 20, 5, 11, 25, 24, 1, 8, 17, 19, 6, 3, 13, 12, 4, 21, 15, 10, 26, 23, 2, 14, 22]
[18, 7, 9, 16, 20, 5, 11, 25, 24, 1, 8, 17, 19, 6, 3, 22, 14, 2, 23, 13, 12, 4, 21, 15, 10, 26]
[18, 7, 9, 16, 20, 5, 11, 25, 24, 1, 8, 17, 19, 6, 3, 22, 14, 2, 23, 26, 10, 15, 21, 4, 12, 13]
[18, 7, 9, 16, 20, 5, 11, 25, 24, 1, 8, 17, 19, 6, 10, 15, 21, 4, 12, 13, 3, 22, 14, 2, 23, 26]
[18, 7, 9, 16, 20, 5, 11, 25, 24, 1, 8, 17, 19, 6, 10, 26, 23, 2, 14, 22, 3, 13, 12, 4, 21, 15]
[18, 7, 9, 16, 20, 5, 11, 25, 24, 1, 15, 21, 4, 12, 13, 3, 22, 14, 2, 23, 26, 10, 6, 19, 17, 8]
[18, 7, 9, 16, 20, 5, 11, 25, 24, 12, 4, 21, 15, 1, 8, 17, 19, 6, 10, 26, 23, 2, 14, 22, 3, 13]
[18, 7, 9, 16, 20, 5, 11, 25, 24, 12, 4, 21, 15, 1, 8, 17, 19, 6, 10, 26, 23, 13, 3, 22, 14, 2]
[18, 7, 9, 16, 20, 5, 11, 25, 24, 12, 13, 3, 22, 14, 2, 23, 26, 10, 6, 19, 17, 8, 1, 15, 21, 4]
[22, 3, 13, 12, 24, 25, 11, 14, 2, 23, 26, 10, 6, 19, 17, 8, 1, 15, 21, 4, 5, 20, 16, 9, 7, 18]
[22, 14, 2, 23, 26, 10, 15, 21, 4, 12, 13, 3, 6, 19, 17, 8, 1, 24, 25, 11, 5, 20, 16, 9, 7, 18]
[26, 10, 15, 21, 4, 12, 13, 23, 2, 14, 22, 3, 6, 19, 17, 8, 1, 24, 25, 11, 5, 20, 16, 9, 7, 18]
[26, 23, 2, 14, 22, 3, 13, 12, 4, 21, 15, 10, 6, 19, 17, 8, 1, 24, 25, 11, 5, 20, 16, 9, 7, 18]
