[1, 15, 10, 6, 30, 19, 17, 8, 28, 21, 4, 5, 31, 18, 7, 29, 20, 16, 9, 27, 22, 3, 13, 12, 24, 25, 11, 14, 2, 23, 26]
[1, 15, 10, 26, 23, 2, 7, 18, 31, 5, 4, 21, 28, 8, 17, 19, 30, 6, 3, 13, 12, 24, 25, 11, 14, 22, 27, 9, 16, 20, 29]
[1, 15, 10, 26, 23, 2, 7, 29, 20, 16, 9, 27, 22, 14, 11, 25, 24, 12, 13, 3, 6, 30, 19, 17, 8, 28, 21, 4, 5, 31, 18]
[1, 15, 10, 26, 23, 2, 14, 11, 25, 24, 12, 13, 3, 6, 30, 19, 17, 8, 28, 21, 4, 5, 31, 18, 7, 29, 20, 16, 9, 27, 22]
[1, 15, 10, 26, 23, 2, 14, 11, 25, 24, 12, 13, 3, 22, 27, 9, 16, 20, 29, 7, 18, 31, 5, 4, 21, 28, 8, 17, 19, 6, 30]
[1, 15, 10, 26, 23, 2, 14, 11, 25, 24, 12, 13, 3, 22, 27, 9, 16, 20, 29, 7, 18, 31, 5, 4, 21, 28, 8, 17, 19, 30, 6]
[1, 15, 10, 26, 23, 2, 14, 22, 27, 9, 16, 20, 29, 7, 18, 31, 5, 4, 21, 28, 8, 17, 19, 30, 6, 3, 13, 12, 24, 25, 11]
[1, 15, 10, 26, 23, 2, 14, 22, 27, 9, 16, 20, 29, 7, 18, 31, 5, 11, 25, 24, 12, 4, 21, 28, 8, 17, 19, 30, 6, 3, 13]
[1, 15, 10, 26, 23, 2, 14, 22, 27, 9, 16, 20, 29, 7, 18, 31, 5, 11, 25, 24, 12, 13, 3, 6, 30, 19, 17, 8, 28, 21, 4]
[1, 15, 10, 26, 23, 13, 3, 6, 30, 19, 17, 8, 28, 21, 4, 12, 24, 25, 11, 5, 31, 18, 7, 2, 14, 22, 27, 9, 16, 20, 29]
[1, 15, 10, 26, 23, 13, 3, 6, 30, 19, 17, 8, 28, 21, 4, 12, 24, 25, 11, 5, 31, 18, 7, 29, 20, 16, 9, 27, 22, 14, 2]
[1, 15, 10, 26, 23, 13, 12, 24, 25, 11, 14, 2, 7, 18, 31, 5, 4, 21, 28, 8, 17, 19, 30, 6, 3, 22, 27, 9, 16, 20, 29]
[1, 15, 10, 26, 23, 13, 12, 24, 25, 11, 14, 2, 7, 29, 20, 16, 9, 27, 22, 3, 6, 30, 19, 17, 8, 28, 21, 4, 5, 31, 18]
[1, 15, 21, 4, 5, 31, 18, 7, 29, 20, 16, 9, 27, 22, 3, 13, 12, 24, 25, 11, 14, 2, 23, 26, 10, 6, 30, 19, 17, 8, 28]
[1, 15, 21, 28, 8, 17, 19, 30, 6, 10, 26, 23, 2, 14, 11, 25, 24, 12, 4, 5, 31, 18, 7, 29, 20, 16, 9, 27, 22, 3, 13]
[1, 15, 21, 28, 8, 17, 19, 30, 6, 10, 26, 23, 2, 14, 11, 25, 24, 12, 13, 3, 22, 27, 9, 16, 20, 29, 7, 18, 31, 5, 4]
