[1, 3, 33, 31, 18, 7, 29, 20, 16, 9, 27, 22, 14, 2, 34, 15, 21, 28, 8, 17, 19, 30, 6, 10, 26, 23, 13, 12, 24, 25, 11, 5, 4, 32]
[1, 3, 33, 31, 18, 7, 29, 20, 16, 9, 27, 22, 14, 2, 34, 15, 21, 28, 8, 17, 32, 4, 5, 11, 25, 24, 12, 13, 23, 26, 10, 6, 19, 30]
[1, 3, 33, 31, 18, 7, 29, 20, 16, 9, 27, 22, 14, 2, 34, 15, 21, 28, 8, 17, 32, 4, 5, 11, 25, 24, 12, 13, 23, 26, 10, 6, 30, 19]
[1, 3, 33, 31, 18, 7, 29, 20, 16, 9, 27, 22, 14, 2, 34, 30, 6, 19, 17, 8, 28, 21, 15, 10, 26, 23, 13, 12, 24, 25, 11, 5, 4, 32]
[1, 3, 33, 31, 18, 7, 29, 20, 16, 9, 27, 22, 14, 2, 34, 30, 6, 19, 17, 32, 4, 5, 11, 25, 24, 12, 13, 23, 26, 10, 15, 21, 28, 8]
[1, 3, 33, 31, 18, 7, 29, 20, 16, 9, 27, 22, 14, 2, 34, 30, 19, 6, 10, 15, 21, 28, 8, 17, 32, 4, 5, 11, 25, 24, 12, 13, 23, 26]
[1, 3, 33, 31, 18, 7, 29, 20, 16, 9, 27, 22, 14, 2, 34, 30, 19, 6, 10, 26, 23, 13, 12, 24, 25, 11, 5, 4, 32, 17, 8, 28, 21, 15]
[1, 8, 17, 32, 4, 5, 11, 25, 24, 12, 13, 3, 33, 31, 18, 7, 29, 20, 16, 9, 27, 22, 14, 2, 23, 26, 10, 6, 19, 30, 34, 15, 21, 28]
[1, 8, 17, 32, 4, 5, 20, 29, 7, 18, 31, 33, 16, 9, 27, 22, 3, 6, 19, 30, 34, 2, 14, 11, 25, 24, 12, 13, 23, 26, 10, 15, 21, 28]
[1, 8, 17, 32, 4, 5, 20, 29, 7, 18, 31, 33, 16, 9, 27, 22, 3, 13, 12, 24, 25, 11, 14, 2, 23, 26, 10, 6, 19, 30, 34, 15, 21, 28]
[1, 8, 17, 32, 4, 5, 20, 29, 7, 18, 31, 33, 16, 9, 27, 22, 14, 11, 25, 24, 12, 13, 3, 6, 19, 30, 34, 2, 23, 26, 10, 15, 21, 28]
[1, 8, 17, 32, 4, 12, 24, 25, 11, 5, 20, 29, 7, 18, 31, 33, 16, 9, 27, 22, 14, 2, 34, 30, 19, 6, 3, 13, 23, 26, 10, 15, 21, 28]
[1, 8, 28, 21, 4, 5, 11, 25, 24, 12, 13, 3, 33, 31, 18, 7, 29, 20, 16, 9, 27, 22, 14, 2, 23, 26, 10, 15, 34, 30, 6, 19, 17, 32]
[1, 8, 28, 21, 4, 5, 11, 25, 24, 12, 13, 23, 26, 10, 15, 34, 2, 14, 22, 27, 9, 16, 20, 29, 7, 18, 31, 33, 3, 6, 30, 19, 17, 32]
[1, 8, 28, 21, 4, 5, 20, 29, 7, 18, 31, 33, 16, 9, 27, 22, 3, 13, 12, 24, 25, 11, 14, 2, 23, 26, 10, 15, 34, 30, 6, 19, 17, 32]
[1, 8, 28, 21, 4, 12, 24, 25, 11, 5, 20, 29, 7, 18, 31, 33, 16, 9, 27, 22, 14, 2, 34, 15, 10, 26, 23, 13, 3, 6, 30, 19, 17, 32]
[1, 8, 28, 21, 4, 32, 17, 19, 6, 3, 13, 12, 24, 25, 11, 5, 20, 29, 7, 18, 31, 33, 16, 9, 27, 22, 14, 2, 23, 26, 10, 15, 34, 30]
